raw_character_text,spoken_words
Barney Gumble,so where you staying tonight homer
Barney Gumble,oh no no pal of mine is gonna stay in some dingy flophouse
Barney Gumble,if you get hungry in the middle of the night theres an open beer in the fridge
Barney Gumble,hey thats rough pal
Barney Gumble,hello marge you left your damn porch light on
Barney Gumble,homers not made of money you know
Barney Gumble,homer yo-youre overwrought why dont you unwind a little bit party down the hall you know this apartment complex caters to upscale young singles like me
Barney Gumble,suit yourself homer nighty-night
Bart Simpson,ah baloney
Bart Simpson,yeah right
Bart Simpson,oh gimme a break
Bart Simpson,wow cool man
Bart Simpson,uh oh its the fe-mail man
Bart Simpson,lady wheres my spy camera wheres my spy camera where is my spy camera lady where is my spy camera wheres my spy camera wheres my spy camera
Bart Simpson,oh thanks man whoa look at the size of this thing i wonder if it really works
Bart Simpson,cause i got a lotta spyin to do
Bart Simpson,sorry dad the answer to that is top secret
Bart Simpson,what
Bart Simpson,aha
Bart Simpson,oh sure like im really gonna take a picture of my butt
Bart Simpson,aw mom cant we just grab a burger and only four of us who escaped
Bart Simpson,ahoy this place bites
Bart Simpson,hmmmm lets see this evening i shall go for the squid platter
Bart Simpson,extra tentacles please
Bart Simpson,may i please be excused for a minute
Bart Simpson,aye carumba
Bart Simpson,wow man
Bart Simpson,oh people people dont applaud lets get to work
Bart Simpson,beats me but the guy dancing with her is my pop
Bart Simpson,sorry guys no can do
Bart Simpson,will you swear not to let another living soul get a copy of this photo
Bart Simpson,cross your heart and hope to die
Bart Simpson,stick a needle in your eye
Bart Simpson,jam a dagger in your thigh
Bart Simpson,eat a horse manure pie
Bart Simpson,well okay
Bart Simpson,well okay
Bart Simpson,hey my photo
Bart Simpson,uh oh
Bart Simpson,im outta here
Bart Simpson,welcome back dad
Bart Simpson,yeah good luck man
Bart Simpson,oooo
Bart Simpson,nice to meet you maam
Bart Simpson,cool man
Bart Simpson,ooh ahh ooh ahh ahh ahh ohh
Bart Simpson,way to go dad
Bart Simpson,all right folks shows over no more to see folks only sick people want to see my folks kiss
